 No.	Product	PartNr	Kanban	PartType(KB Type)	Position	ActualQuantity	BundleQuantity	BatchQuantity	KanBanPosition	RouteNr	ChangeQty
161	91C535001	91C535001215	424109	WhiteCard	Remark1	1100	100	100	Remark1	215	Y
162	91C534101	91C53410115	399207	WhiteCard	Remark1	200	100	100	Remark1	15	Y
163	91C604301	91C604301845	345340/345341	BlueCard	Remark1	600	100	100	Remark1	845	Y
164	91C529002	91C529002210	426944	WhiteCard	Remark1	400	100	100	Remark1	210	Y
165	91C511601	91C511601805	401228	WhiteCard	Remark1	800	100	100	Remark1	805	Y
166	91C533502	91C53350268	427266/427267	BlueCard	Remark1	100	100	100	Remark1	68	N
167	91C528602	91C52860290	424272/424273	BlueCard	Remark1	100	100	100	Remark1	90	N
168	91C535001	91C535001295	426630	WhiteCard	Remark1	300	100	100	Remark1	295	Y
169	91C535001	91C535001130	423954	WhiteCard	Remark1	1200	100	100	Remark1	130	Y
170	91C535001	91C535001220	426624	WhiteCard	Remark1	400	100	100	Remark1	220	Y
171	91C533502	91C53350250	421870/421871	BlueCard	Remark1	100	100	100	Remark1	50	N
172	91C535001	91C535001210	424056	WhiteCard	Remark1	600	100	100	Remark1	210	Y
173	91C535001	91C535001270	427381	WhiteCard	Remark1	200	100	100	Remark1	270	Y
